,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
1131,Bahrain,BHR,Asia,Egypt,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1132,Bahrain,BHR,Asia,Ethiopia,1.0,0.0,0.0,52.0,7
1133,Bahrain,BHR,Asia,France,1.0,0.0,0.0,52.0,7
1134,Bahrain,BHR,Asia,Germany,1.0,0.0,0.0,52.0,7
1135,Bahrain,BHR,Asia,India,7.0,1.9459101490553132,0.3113468571680022,52.0,7
1136,Bahrain,BHR,Asia,Iran (Islamic Republic of),3.0,1.0986122886681098,0.17577866248809984,52.0,7
1137,Bahrain,BHR,Asia,Iraq,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1138,Bahrain,BHR,Asia,Jordan,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1139,Bahrain,BHR,Asia,Kuwait,4.0,1.3862943611198906,0.22180797641347444,52.0,7
1140,Bahrain,BHR,Asia,Lebanon,1.0,0.0,0.0,52.0,7
1141,Bahrain,BHR,Asia,Oman,3.0,1.0986122886681098,0.17577866248809984,52.0,7
1142,Bahrain,BHR,Asia,Pakistan,6.0,1.791759469228055,0.28668265069483706,52.0,7
1143,Bahrain,BHR,Asia,Philippines,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1144,Bahrain,BHR,Asia,Qatar,10.0,2.302585092994046,0.3684150742590171,52.0,7
1145,Bahrain,BHR,Asia,Saudi Arabia,8.0,2.0794415416798357,0.33271196462021163,52.0,7
1146,Bahrain,BHR,Asia,Sri Lanka,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1147,Bahrain,BHR,Asia,Sudan,1.0,0.0,0.0,52.0,7
1148,Bahrain,BHR,Asia,Thailand,3.0,1.0986122886681098,0.17577866248809984,52.0,7
1149,Bahrain,BHR,Asia,Turkey,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1150,Bahrain,BHR,Asia,United Arab Emirates,16.0,2.772588722239781,0.4436159528269489,52.0,7
1151,Bahrain,BHR,Asia,United Kingdom of Great Britain and Northern Ireland,4.0,1.3862943611198906,0.22180797641347444,52.0,7
1152,Bahrain,BHR,Asia,Yemen,2.0,0.6931471805599453,0.11090398820673722,52.0,7
1176,Bangladesh,BGD,Asia,Bhutan,1.0,0.0,0.0,80.0,11
1177,Bangladesh,BGD,Asia,Myanmar,1.0,0.0,0.0,80.0,11
1178,Bangladesh,BGD,Asia,China,2.0,0.6931471805599453,0.11090398820673722,80.0,11
1179,Bangladesh,BGD,Asia,Hong Kong,3.0,1.0986122886681098,0.17577866248809984,80.0,11
1180,Bangladesh,BGD,Asia,India,12.0,2.4849066497880004,0.3975866389015743,80.0,11
1181,Bangladesh,BGD,Asia,Italy,1.0,0.0,0.0,80.0,11
1182,Bangladesh,BGD,Asia,Kuwait,2.0,0.6931471805599453,0.11090398820673722,80.0,11
1183,Bangladesh,BGD,Asia,Malaysia,6.0,1.791759469228055,0.28668265069483706,80.0,11
1184,Bangladesh,BGD,Asia,Nepal,4.0,1.3862943611198906,0.22180797641347444,80.0,11
1185,Bangladesh,BGD,Asia,Oman,5.0,1.6094379124341003,0.25751108605227985,80.0,11
1186,Bangladesh,BGD,Asia,Pakistan,1.0,0.0,0.0,80.0,11
1187,Bangladesh,BGD,Asia,Qatar,2.0,0.6931471805599453,0.11090398820673722,80.0,11
1188,Bangladesh,BGD,Asia,Saudi Arabia,7.0,1.9459101490553132,0.3113468571680022,80.0,11
1189,Bangladesh,BGD,Asia,Singapore,4.0,1.3862943611198906,0.22180797641347444,80.0,11
1190,Bangladesh,BGD,Asia,Sri Lanka,2.0,0.6931471805599453,0.11090398820673722,80.0,11
1191,Bangladesh,BGD,Asia,Thailand,7.0,1.9459101490553132,0.3113468571680022,80.0,11
1192,Bangladesh,BGD,Asia,Turkey,1.0,0.0,0.0,80.0,11
1193,Bangladesh,BGD,Asia,United Arab Emirates,9.0,2.1972245773362196,0.3515573249761997,80.0,11
1194,Bangladesh,BGD,Asia,United Kingdom of Great Britain and Northern Ireland,1.0,0.0,0.0,80.0,11
