level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
1392,1437,Gambia,Sierra Leone,1050.0,1059.0,2,1050,13.338000297546387,-16.65220069885254,95,1059,8.616439999999999,-13.1955,84
1393,1438,Gambia,Spain,2100.0,2272.0,4,2100,26.676000595092773,-33.30440139770508,190,2272,69.22900002441406,-13.30813954071045,90
1394,1439,Georgia,Austria,3973.0,1613.0,2,3973,41.6692008972,44.95470047,1624,1613,48.110298156738004,16.569700241089002,600
1395,1440,Georgia,Azerbaijan,3973.0,2922.0,2,3973,41.6692008972,44.95470047,1624,2922,40.46749877929688,50.04669952392578,10
1396,1441,Georgia,Belarus,11916.0,8862.0,3,11916,125.4561996459,129.0370025635,1952,8862,161.647499084472,84.09210205078199,2010
1397,1442,Georgia,China,3973.0,3399.0,1,3973,41.6692008972,44.95470047,1624,3399,43.90710067749024,87.47419738769531,2125
1398,1443,Georgia,France,3973.0,1382.0,2,3973,41.6692008972,44.95470047,1624,1382,49.012798,2.55,392
1399,1445,Georgia,Germany,3973.0,346.0,1,3973,41.6692008972,44.95470047,1624,346,48.353802,11.7861,1487
1400,1446,Georgia,Greece,3973.0,3941.0,1,3973,41.6692008972,44.95470047,1624,3941,37.9364013672,23.944499969499997,308
1401,1447,Georgia,Iraq,7946.0,8119.0,2,7946,83.3384017944,89.90940094,3248,8119,69.50009918208946,88.19779968257852,1455
1402,1448,Georgia,Israel,3973.0,1590.0,3,3973,41.6692008972,44.95470047,1624,1590,32.011398315429695,34.88669967651367,135
